Order_ID,Date,Customer_ID,Gender,Age,Product,Category,Quantity,Unit_Price,Sales,Discount_Percent,Discount_Amount,Revenue
ORD0001,2025-01-05 00:00:00.000000000,CUST0054,Male,45,Bluetooth Speaker,Electronics,3,126.62,410.44,20,82.09,328.35
ORD0002,2025-01-08 17:32:46.386554621,CUST0022,Female,42,Power Bank,Electronics,5,100.02,573.83,15,86.07,487.76
ORD0003,2025-01-12 11:05:32.773109243,CUST0043,Female,56,Cookware Set,Home & Kitchen,4,55.19,229.94,0,0.0,229.94
ORD0004,2025-01-16 04:38:19.159663865,CUST0046,Female,50,Table Lamp,Home & Kitchen,5,59.44,293.16,15,43.97,249.19
ORD0005,2025-01-19 22:11:05.546218487,CUST0004,Male,18,Storage Box,Home & Kitchen,4,100.7,371.77,15,55.77,316.0
ORD0006,2025-01-23 15:43:51.932773109,CUST0026,Male,44,Wireless Headphones,Electronics,4,144.09,659.8,10,65.98,593.82
ORD0007,2025-01-27 09:16:38.319327731,CUST0058,Male,30,Lipstick,Beauty,6,61.45,395.49,10,39.55,355.94
ORD0008,2025-01-31 02:49:24.705882353,CUST0029,Female,58,Power Bank,Electronics,1,149.49,158.0,5,7.9,150.1
ORD0009,2025-02-03 20:22:11.092436975,CUST0045,Female,20,Hoodie,Clothing,4,21.84,80.35,0,0.0,80.35
ORD0010,2025-02-07 13:54:57.478991597,CUST0034,Female,56,Face Wash,Beauty,8,42.14,331.82,5,16.59,315.23
ORD0011,2025-02-11 07:27:43.865546219,CUST0023,Male,23,Water Bottle,Home & Kitchen,7,26.91,180.12,15,27.02,153.1
ORD0012,2025-02-15 01:00:30.252100840,CUST0037,Female,25,Lipstick,Beauty,5,45.72,205.61,0,0.0,205.61
ORD0013,2025-02-18 18:33:16.638655462,CUST0011,Female,44,Water Bottle,Home & Kitchen,7,72.98,546.82,5,27.34,519.48
ORD0014,2025-02-22 12:06:03.025210084,CUST0006,Male,26,Cookware Set,Home & Kitchen,4,126.52,499.1,5,24.96,474.14
ORD0015,2025-02-26 05:38:49.411764706,CUST0018,Male,54,Smart Watch,Electronics,6,85.88,446.77,10,44.68,402.09
ORD0016,2025-03-01 23:11:35.798319328,CUST0021,Male,50,Hoodie,Clothing,6,23.78,159.79,15,23.97,135.82
ORD0017,2025-03-05 16:44:22.184873950,CUST0042,Male,59,Sneakers,Clothing,9,25.72,227.72,5,11.39,216.33
ORD0018,2025-03-09 10:17:08.571428572,CUST0036,Female,61,T-Shirt,Clothing,8,72.11,649.88,5,32.49,617.39
