App,Category,Rating,Reviews,Size,Installs,Type,Price
WhatsApp Messenger,COMMUNICATION,4.3,158945000,58M,"1,000,000,000+",Free,0
Instagram,SOCIAL,4.5,665774000,38M,"1,000,000,000+",Free,0
Facebook,SOCIAL,4.1,781583000,Varies with device,"1,000,000,000+",Free,0
YouTube,VIDEO_PLAYERS,4.3,256235000,Varies with device,"1,000,000,000+",Free,0
Google Maps,TRAVEL_AND_LOCAL,4.3,92316100,35M,"1,000,000,000+",Free,0
Spotify Music,MUSIC_AND_AUDIO,4.5,45500000,Varies with device,"100,000,000+",Free,0
Netflix,VIDEO_PLAYERS,4.4,5450000,Varies with device,"100,000,000+",Free,0
Google Drive,PRODUCTIVITY,4.4,27311700,Varies with device,"1,000,000,000+",Free,0
Microsoft Word,PRODUCTIVITY,4.4,40200000,Varies with device,"500,000,000+",Free,0
Microsoft Excel,PRODUCTIVITY,4.5,24400000,Varies with device,"500,000,000+",Free,0
Duolingo,FAMILY,4.7,11200000,Varies with device,"100,000,000+",Free,0
Khan Academy,FAMILY,4.5,1750000,Varies with device,"10,000,000+",Free,0
Google Keep,PRODUCTIVITY,4.4,6920000,Varies with device,"500,000,000+",Free,0
Evernote,PRODUCTIVITY,4.6,1800000,Varies with device,"100,000,000+",Free,0
Adobe Acrobat Reader,PRODUCTIVITY,4.3,5600000,Varies with device,"500,000,000+",Free,0
Candy Crush Saga,GAME,4.4,22400000,74M,"1,000,000,000+",Free,0
Subway Surfers,GAME,4.5,35000000,76M,"1,000,000,000+",Free,0
Clash of Clans,GAME,4.6,53000000,Varies with device,"500,000,000+",Free,0
Minecraft,GAME,4.5,5200000,Varies with device,"50,000,000+",Paid,6.99
Monument Valley,GAME,4.8,240000,280M,"5,000,000+",Paid,3.99
Adobe Lightroom,PHOTOGRAPHY,4.3,2250000,Varies with device,"100,000,000+",Free,0
Snapseed,PHOTOGRAPHY,4.5,1700000,Varies with device,"100,000,000+",Free,0
PicsArt Photo Editor,PHOTOGRAPHY,4.3,11300000,Varies with device,"500,000,000+",Free,0
Canva,ART_AND_DESIGN,4.7,5200000,Varies with device,"100,000,000+",Free,0
SketchBook,ART_AND_DESIGN,4.5,620000,Varies with device,"100,000,000+",Free,0
Headspace,HEALTH_AND_FITNESS,4.5,250000,Varies with device,"10,000,000+",Free,0
Calm,HEALTH_AND_FITNESS,4.4,480000,Varies with device,"10,000,000+",Free,0
Fitbit,HEALTH_AND_FITNESS,4.1,730000,Varies with device,"50,000,000+",Free,0
MyFitnessPal,HEALTH_AND_FITNESS,4.6,2400000,Varies with device,"100,000,000+",Free,0
Pocket Casts,MUSIC_AND_AUDIO,4.3,55000,Varies with device,"1,000,000+",Paid,3.99
Poweramp Full Version Unlocker,MUSIC_AND_AUDIO,4.6,95000,5.2M,"1,000,000+",Paid,4.99
Nova Launcher Prime,PERSONALIZATION,4.7,350000,8.5M,"10,000,000+",Paid,4.99
Tasker,TOOLS,4.6,430000,Varies with device,"10,000,000+",Paid,3.49
Torque Pro,TOOLS,4.2,155000,Varies with device,"1,000,000+",Paid,4.95
Weather & Clock Widget,WEATHER,4.4,210000,12M,"10,000,000+",Free,0
